Subtopic,Problem Title,Company Name,Platform/Link
Tree & Graph Greedy Applications,Maximum Depth of Binary Tree,"Infosys, Capgemini",https://leetcode.com/problems/maximum-depth-of-binary-tree/
Tree & Graph Greedy Applications,Path Sum (Greedy path selection),"Accenture, Deloitte",https://leetcode.com/problems/path-sum/
Tree & Graph Greedy Applications,Binary Tree Maximum Path Sum,"Genpact, TCS",https://leetcode.com/problems/binary-tree-maximum-path-sum/
Tree & Graph Greedy Applications,Diameter of Binary Tree,"Wipro, Infosys",https://leetcode.com/problems/diameter-of-binary-tree/
Tree & Graph Greedy Applications,Invert Binary Tree,"TCS, HCL",https://leetcode.com/problems/invert-binary-tree/
Tree & Graph Greedy Applications,Lowest Common Ancestor of a BST,"Accenture, Capgemini",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
Tree & Graph Greedy Applications,Course Schedule (Greedy topological sort),"Deloitte, Wipro",https://leetcode.com/problems/course-schedule/
Tree & Graph Greedy Applications,Find Center of Star Graph,"TCS, Genpact",https://leetcode.com/problems/find-center-of-star-graph/
Tree & Graph Greedy Applications,Minimum Spanning Tree (Prim/Kruskal core concept),"Infosys, Accenture",https://practice.geeksforgeeks.org/
Mathematical & Logical Greedy,Palindrome Number,"TCS, Wipro",https://leetcode.com/problems/palindrome-number/
Mathematical & Logical Greedy,Reverse Integer,"Infosys, Capgemini",https://leetcode.com/problems/reverse-integer/
Mathematical & Logical Greedy,Fizz Buzz,"Accenture, Deloitte",https://leetcode.com/problems/fizz-buzz/
Mathematical & Logical Greedy,Single Number (Greedy XOR),"Genpact, TCS",https://leetcode.com/problems/single-number/
Mathematical & Logical Greedy,Majority Element (Moore's Voting Algorithm),"Wipro, Infosys",https://leetcode.com/problems/majority-element/
Mathematical & Logical Greedy,Power of Two (Greedy bit check),"TCS, HCL",https://leetcode.com/problems/power-of-two/
Mathematical & Logical Greedy,Missing Number,"Accenture, Capgemini",https://leetcode.com/problems/missing-number/
Mathematical & Logical Greedy,Excel Sheet Column Number,"Deloitte, Wipro",https://leetcode.com/problems/excel-sheet-column-number/
Mathematical & Logical Greedy,Valid Perfect Square,"TCS, Genpact",https://leetcode.com/problems/valid-perfect-square/
Mathematical & Logical Greedy,Happy Number,"Infosys, Accenture",https://leetcode.com/problems/happy-number/
Subarray & Subsequence Optimization,Maximum Subarray (Kadane's),"TCS, Wipro",https://leetcode.com/problems/maximum-subarray/
Subarray & Subsequence Optimization,Maximum Product Subarray,"Infosys, Capgemini",https://leetcode.com/problems/maximum-product-subarray/
Subarray & Subsequence Optimization,Longest Continuous Increasing Subsequence,"Accenture, Deloitte",https://leetcode.com/problems/longest-continuous-increasing-subsequence/
Subarray & Subsequence Optimization,Longest Harmonious Subsequence,"Genpact, TCS",https://leetcode.com/problems/longest-harmonious-subsequence/
Subarray & Subsequence Optimization,Maximum Ascending Subarray Sum,"Wipro, Infosys",https://leetcode.com/problems/maximum-ascending-subarray-sum/
Subarray & Subsequence Optimization,Minimum Size Subarray Sum,"TCS, HCL",https://leetcode.com/problems/minimum-size-subarray-sum/
Subarray & Subsequence Optimization,Maximum Average Subarray I,"Accenture, Capgemini",https://leetcode.com/problems/maximum-average-subarray-i/
Subarray & Subsequence Optimization,Shortest Unsorted Continuous Subarray,"Deloitte, Wipro",https://leetcode.com/problems/shortest-unsorted-continuous-subarray/
Subarray & Subsequence Optimization,Subarray Sum Equals K,"TCS, Genpact",https://leetcode.com/problems/subarray-sum-equals-k/
Subarray & Subsequence Optimization,Find All Duplicates in an Array,"Infosys, Accenture",https://leetcode.com/problems/find-all-duplicates-in-an-array/
Resource Allocation & Intervals,Assign Cookies,"TCS, Wipro",https://leetcode.com/problems/assign-cookies/
Resource Allocation & Intervals,Lemonade Change,"Infosys, Capgemini",https://leetcode.com/problems/lemonade-change/
Resource Allocation & Intervals,Maximum Units on a Truck,"Accenture, Deloitte",https://leetcode.com/problems/maximum-units-on-a-truck/
Resource Allocation & Intervals,Boats to Save People,"Genpact, TCS",https://leetcode.com/problems/boats-to-save-people/
Resource Allocation & Intervals,Minimum Number of Taps to Open to Water a Garden,"Wipro, Infosys",https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden/
Resource Allocation & Intervals,Jump Game,"TCS, HCL",https://leetcode.com/problems/jump-game/
Resource Allocation & Intervals,Jump Game II,"Accenture, Capgemini",https://leetcode.com/problems/jump-game-ii/
Resource Allocation & Intervals,Video Stitching,"Deloitte, Wipro",https://leetcode.com/problems/video-stitching/
Resource Allocation & Intervals,Minimum Initial Energy to Finish Tasks,"TCS, Genpact",https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks/
Resource Allocation & Intervals,Put Boxes Into the Warehouse I,"Infosys, Accenture",https://leetcode.com/problems/put-boxes-into-the-warehouse-i/
String Transformations,Longest Palindromic Substring,"TCS, Wipro",https://leetcode.com/problems/longest-palindromic-substring/
String Transformations,Valid Anagram,"Infosys, Capgemini",https://leetcode.com/problems/valid-anagram/
String Transformations,Group Anagrams,"Accenture, Deloitte",https://leetcode.com/problems/group-anagrams/
String Transformations,Longest Substring Without Repeating Characters,"Genpact, TCS",https://leetcode.com/problems/longest-substring-without-repeating-characters/
String Transformations,Minimum Window Substring,"Wipro, Infosys",https://leetcode.com/problems/minimum-window-substring/
String Transformations,Word Break,"TCS, HCL",https://leetcode.com/problems/word-break/
String Transformations,Isomorphic Strings,"Accenture, Capgemini",https://leetcode.com/problems/isomorphic-strings/
String Transformations,Word Pattern,"Deloitte, Wipro",https://leetcode.com/problems/word-pattern/
String Transformations,Find All Anagrams in a String,"TCS, Genpact",https://leetcode.com/problems/find-all-anagrams-in-a-string/
String Transformations,First Unique Character in a String,"Infosys, Accenture",https://leetcode.com/problems/first-unique-character-in-a-string/
Heap / Priority Queue & Greedy,Kth Largest Element in an Array,"TCS, Wipro",https://leetcode.com/problems/kth-largest-element-in-an-array/
Heap / Priority Queue & Greedy,Top K Frequent Elements,"Infosys, Capgemini",https://leetcode.com/problems/top-k-frequent-elements/
Heap / Priority Queue & Greedy,Find K Pairs with Smallest Sums,"Accenture, Deloitte",https://leetcode.com/problems/find-k-pairs-with-smallest-sums/
Heap / Priority Queue & Greedy,Merge K Sorted Lists,"Genpact, TCS",https://leetcode.com/problems/merge-k-sorted-lists/
Heap / Priority Queue & Greedy,Reorganize String,"Wipro, Infosys",https://leetcode.com/problems/reorganize-string/
Heap / Priority Queue & Greedy,Task Scheduler,"TCS, HCL",https://leetcode.com/problems/task-scheduler/
Heap / Priority Queue & Greedy,K Closest Points to Origin,"Accenture, Capgemini",https://leetcode.com/problems/k-closest-points-to-origin/
Heap / Priority Queue & Greedy,Last Stone Weight,"Deloitte, Wipro",https://leetcode.com/problems/last-stone-weight/
Heap / Priority Queue & Greedy,Kth Smallest Element in a Sorted Matrix,"TCS, Genpact",https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
Heap / Priority Queue & Greedy,Sort Characters By Frequency,"Infosys, Accenture",https://leetcode.com/problems/sort-characters-by-frequency/
Game Theory (Greedy strategies),Nim Game,"TCS, Wipro",https://leetcode.com/problems/nim-game/
Game Theory (Greedy strategies),Stone Game,"Infosys, Capgemini",https://leetcode.com/problems/stone-game/
Game Theory (Greedy strategies),Divisor Game,"Accenture, Deloitte",https://leetcode.com/problems/divisor-game/
Game Theory (Greedy strategies),Can I Win,"Genpact, TCS",https://leetcode.com/problems/can-i-win/
Game Theory (Greedy strategies),Predict the Winner,"Wipro, Infosys",https://leetcode.com/problems/predict-the-winner/
Game Theory (Greedy strategies),Guess Number Higher or Lower,"TCS, HCL",https://leetcode.com/problems/guess-number-higher-or-lower/
Game Theory (Greedy strategies),Find the Winner of the Circular Game,"Accenture, Capgemini",https://leetcode.com/problems/find-the-winner-of-the-circular-game/
Game Theory (Greedy strategies),Cat and Mouse,"Deloitte, Wipro",https://leetcode.com/problems/cat-and-mouse/
Game Theory (Greedy strategies),Flip Game,"TCS, Genpact",https://leetcode.com/problems/flip-game/
Game Theory (Greedy strategies),Bulls and Cows,"Infosys, Accenture",https://leetcode.com/problems/bulls-and-cows/
Array Simulation & Manipulation,Valid Sudoku,"TCS, Wipro",https://leetcode.com/problems/valid-sudoku/
Array Simulation & Manipulation,Rotate Image,"Infosys, Capgemini",https://leetcode.com/problems/rotate-image/
Array Simulation & Manipulation,Spiral Matrix,"Accenture, Deloitte",https://leetcode.com/problems/spiral-matrix/
Array Simulation & Manipulation,Set Matrix Zeroes,"Genpact, TCS",https://leetcode.com/problems/set-matrix-zeroes/
Array Simulation & Manipulation,Game of Life,"Wipro, Infosys",https://leetcode.com/problems/game-of-life/
Array Simulation & Manipulation,First Missing Positive,"TCS, HCL",https://leetcode.com/problems/first-missing-positive/
Array Simulation & Manipulation,Insert Delete GetRandom O(1),"Accenture, Capgemini",https://leetcode.com/problems/insert-delete-getrandom-o1/
Array Simulation & Manipulation,Product of Array Except Self,"Deloitte, Wipro",https://leetcode.com/problems/product-of-array-except-self/
Array Simulation & Manipulation,Next Permutation,"TCS, Genpact",https://leetcode.com/problems/next-permutation/
Array Simulation & Manipulation,Rotate Array,"Infosys, Accenture",https://leetcode.com/problems/rotate-array/
